"","Nombre","Precio","Oferta","Opiniones","Marca","Ancho","Alto","Peso","Color"
"1","CAFETERA ULTRA TOYS AQUA RP","$9.990"," $8.390","(Sin Calificaciones)","ULTRA TOYS","20.1","13.4","0.725","Celeste"
"2","CAFETERA NESCAFE DOLCE GUSTO JOVIA","$49.990"," $39.990","(59 Calificaciones)","NESTLE","26","43","3","Blanco"
"3","CAFETERA NESPRESSO CITIZ&MILK FACELIFT","$189.990",NA,"(Sin Calificaciones)","NESPRESSO","23","27.7","No Aplica","Silver"
"4","CAFETERA DELONGHI ICONA VINTAGE CELESTE ECOV311","$129.990",NA,"(2 Calificaciones)","DELONGHI","26","31.5","4.1","Celeste"
"5","CAFETERA OSTER DRIP 5B","$11.990",NA,"(4 Calificaciones)","OSTER","-1","-1","-1","Negro"
"6","CAFETERA RIPLEY HOME VALCAT 1 LT","$5.990"," $4.990","(Sin Calificaciones)","RIPLEY HOME","-1","-1","-1","-1"
"7","CAFETERA KENWOOD PICASSO COX750 ROJO","$59.990",NA,"(Sin Calificaciones)","KENWOOD","19","32","2.59","Rojo"
"8","CAFETERA NESCAFE DOLCE GUSTO MINI ME","$74.990",NA,"(1 Calificaciones)","NESTLE","16","24.2","2.23","Rojo"
"9","CAFETERA DELONGHI MOKA ALICIA EMK4","$59.990",NA,"(2 Calificaciones)","DELONGHI","12.7","21.9","1","Gris"
"10","CAFETERA NESPRESSO ESSENZA MINI BLANCO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Blanco"
"11","CAFETERA OSTER PRIMALATTE COBRE","$89.990"," $79.990","(9 Calificaciones)","OSTER","-1","-1","-1","Cobre"
"12","CAFETERA NESPRESSO ESSENZA MINI ROJO + AEROCCINO D RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"13","CAFETERA NESPRESSO ESSENZA MINI NEGRO + AEROCCINO C RANGE","$109.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Negro"
"14","CAFETERA NESPRESSO ESSENZA MINI SINGLE ROJO","$89.990",NA,"(Sin Calificaciones)","NESPRESSO","11","32.5","2.3","Rojo"
"15","CAFETERA NESCAFE DOLCE GUSTO GENIO 2 ROJA","$69.990"," $59.990","(6 Calificaciones)","NESCAFE","25","32","2.4","Rojo"
"16","CAFETERA FANTUZZI EXPRESS LUNA 6 TAZAS","$4.890",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
"17","CAFETERA FANTUZZI EXPRESS LUNA 9 TAZAS","$6.290",NA,"(1 Calificaciones)","FANTUZZI","-1","-1","-1","Plata"
